"Date","Open","High","Low","Close","Volume"
"2017-03-09",851,856.400024,850.309998,853,2048200
"2017-03-10",857,857.349976,851.719971,852.460022,2436400
"2017-03-13",851.77002,855.690002,851.710022,854.590027,1909700
"2017-03-14",853.549988,853.75,847.549988,852.530029,2130600
"2017-03-15",854.330017,854.450012,847.109985,852.969971,2562200
"2017-03-16",855.299988,855.5,850.51001,853.419983,1842300
"2017-03-17",853.48999,853.830017,850.640015,852.309998,3384400
"2017-03-20",851.51001,857.799988,851.01001,856.969971,2282700
"2017-03-21",858.840027,862.799988,841.309998,843.200012,4382900
"2017-03-22",840.429993,849.369995,839.049988,848.059998,2658700
"2017-03-23",848.200012,850.890015,844.799988,847.380005,1953000
"2017-03-24",851.679993,851.799988,843.530029,845.609985,2138300
"2017-03-27",838.070007,850.299988,833.5,846.820007,2755800
"2017-03-28",851.75,858.460022,850.099976,856,3041600
"2017-03-29",859.049988,876.440002,859.02002,874.320007,4485800
"2017-03-30",874.950012,877.059998,871.659973,876.340027,2762700
"2017-03-31",877,890.349976,876.650024,886.539978,3957600
"2017-04-03",888,893.48999,885.419983,891.51001,3422300
"2017-04-04",891.5,908.539978,890.280029,906.830017,4984700
"2017-04-05",910.820007,923.719971,905.619995,909.280029,7508400
"2017-04-06",913.799988,917.190002,894.48999,898.280029,6344100
"2017-04-07",899.650024,900.090027,889.309998,894.880005,3710900
"2017-04-10",899.630005,908.51001,899,907.039978,3184300
"2017-04-11",907.039978,911.23999,897.5,902.359985,3012700
"2017-04-12",903.090027,904.090027,895.25,896.22998,2456100
"2017-04-13",891.450012,894.969971,884.48999,884.669983,3174600
"2017-04-17",887.5,902.380005,887.5,901.98999,2854700
"2017-04-18",900.98999,909.609985,900.780029,903.780029,2999200
"2017-04-19",907.840027,910.5,897.369995,899.200012,2870200
"2017-04-20",899.700012,905.320007,896.289978,902.059998,2814400
"2017-04-21",902.669983,903.650024,896.77002,898.530029,2420500
"2017-04-24",908.679993,909.98999,903.820007,907.409973,3122900
"2017-04-25",907.039978,909.47998,903,907.619995,3380600
"2017-04-26",910.299988,915.75,907.559998,909.289978,2608900
"2017-04-27",914.390015,921.859985,912.109985,918.380005,5305500
"2017-04-28",948.830017,949.590027,924.330017,924.98999,7335800
"2017-05-01",927.799988,954.400024,927.799988,948.22998,5466500
"2017-05-02",946.650024,950.099976,941.409973,946.940002,3848800
"2017-05-03",946,946,935.900024,941.030029,3582700
"2017-05-04",944.75,945,934.219971,937.530029,2418400
